ID,template,header,text,COST,LOSS,DIECE_LOSS,PROFIT,DIECE_PROFIT,Joker_text_positive,Joker_text_negative
D19,DEFECT_EXTREME.svg,Сбой систем жизнеобеспечения,"Воздух становится густым, каждый вдох — усилие. Машины жизнеобеспечения молчат, словно устали бороться.",3 ОД,-2 ОД,всегда,,,,
D20,DEFECT_SPECIAL.svg,Квантовый резонанс двигателя,"Пространство искривляется. Кажется, что корабль раздвоился. Возможно, одна из копий ещё летит вперёд…",3 ОД,Пропуск хода,четные,,,,
F01,FEATURE_STABLE.svg,Система стабилизации курса,Новая прошивка автопилота делает полёт гладким и устойчивым. Даже стажёр может вести корабль.,2 ОД,+4 ОМ,3,,"5,6",,
F02,FEATURE_STABLE.svg,Резервное питание реактора,Дополнительный конденсатор спасает энергию во время перегрузок.,2 ОД,+4 ОМ,"2,12",,9-11,,
F03,FEATURE_STABLE.svg,Улучшенные теплообменники,Экипаж больше не тает от жары — охлаждение идеальное.,1 ОД,+3 ОМ,11,,3-5,,
F04,FEATURE_STABLE.svg,Стабилизатор магнитного поля,Защищает от радиации и ионов — можно спокойно идти через пояса заряженных частиц,3 ОД,+4 ОМ,4,,"8,9",,
F05,FEATURE_STABLE.svg,Защитное покрытие обшивки,"Микрокапсулы сплава мгновенно заделывают трещины — корпус блестит, как новый.",3 ОД,+4 ОМ,"2,12",,"3,4,10,11",,
F06,FEATURE_NORMAL.svg,Оптимизация навигационного ИИ,Новый нейроалгоритм предсказывает манёвры на секунды вперёд.,3 ОД,+5 ОМ,4,,5-7,,
F07,FEATURE_NORMAL.svg,Регенератор кислорода,Зелёные мхи в биомодулях работают как часы — кислород чист и свеж.,3 ОД,+5 ОМ,10,,7-9,,
F08,FEATURE_NORMAL.svg,Модуль точечной телеметрии,Сенсоры видят всё — даже дыхание экипажа.,3 ОД,+5 ОМ,"11,12",,3-6,,
F09,FEATURE_NORMAL.svg,Генератор импульсных щитов,Пульсирующее поле красиво отражает свет звёзд и спасает корпус.,3 ОД,+5 ОМ,"2,3",,8-11,,
F10,FEATURE_NORMAL.svg,Модуль переработки отходов,"Инженеры гордятся системой, превращающей мусор в энергию и еду.",2 ОД,+5 ОМ,5,,"2,4,7,10,12",,
F11,FEATURE_UNSTABLE.svg,Квантовая навигация,Навигация по вероятностям — звёзды выстраиваются в идеальные пути.,4 ОД,+8 ОМ,"6,8",,"2-5,10-12",,
F12,FEATURE_UNSTABLE.svg,Плазменный ускоритель,Реактор выбрасывает голубой шлейф — корабль мчится как комета.,4 ОД,+8 ОМ,"2-5,10-12",,"5,6,8,9",,
F13,FEATURE_UNSTABLE.svg,Нейропривязка управления,Капитан управляет кораблём мысленно — реакция мгновенная.,4 ОД,+8 ОМ,"5,7,9",,"4,6,8,10",,
F14,FEATURE_UNSTABLE.svg,Гравитационный компенсатор,"Полёт мягкий, ускорение как прогулка в парке.",4 ОД,+8 ОМ,8-10,,4-7,,
F15,FEATURE_UNSTABLE.svg,Автономный ремонтный дрон,Маленький механик чинит всё без участия экипажа.,2 ОД,+10 ОМ,"1,12",,7,,
F16,FEATURE_RISKY.svg,Прототип варп-ядра,Энергия звёзд в ладонях экипажа — корабль готов к сверхсвету.,2 ОД,+7 ОМ,8-12,,2-6,,
F17,FEATURE_RISKY.svg,Экспериментальный щит Хиггса,"Щит отражает частицы, свет и судьбу.",3 ОД,+10 ОМ,"2-5,7,10-12",,"5,6,8,9",,
F18,FEATURE_RISKY.svg,Телепортационный шлюз,Грузы мгновенно перемещаются в отсеки — революция логистики!,3 ОД,+15 ОМ,"2-5,9-12",,6-8,,
F19,FEATURE_RISKY.svg,Система квантового предсказания,Компьютер предсказывает будущее и предотвращает аварии.,2 ОД,+8 ОМ,2-6,,8-12,,
F20,FEATURE_RISKY.svg,Живой биомодуль,"Корабль растёт, адаптируется, как организм.",3 ОД,+10 ОМ,четные,,нечет.,,
C01,CRASH_EASY.svg,Система стабилизации курса,"Алгоритм зависает — корабль вращается вокруг оси, а команда привязывается к креслам.",2 ОД,-2 ОМ,3,,,,
C02,CRASH_EASY.svg,Резервное питание реактора,"Конденсатор перегревается, сгорает, и весь отсек погружается в темноту.",2 ОД,-2 ОМ,"2,12",,,,
C03,CRASH_EASY.svg,Улучшенные теплообменники,"Охлаждение ломается, и температура растёт — консоли плавятся, воздух дрожит.",2 ОД,-1 ОМ,11,,,,
C04,CRASH_EASY.svg,Стабилизатор магнитного поля,Поле «флипается» — вместо защиты оно начинает тянуть мусор и заряды внутрь корпуса.,2 ОД,-1 ОМ,4,,,,
C05,CRASH_EASY.svg,Защитное покрытие обшивки,Капсулы лопаются цепной реакцией — на обшивке появляются пузыри и вырывы.,2 ОД,-2 ОМ,"2,12",,,,
C06,CRASH_MEDIUM.svg,Оптимизация навигационного ИИ,"ИИ сходит с ума и начинает спорить с пилотом, кто из них настоящий капитан.",2 ОД,-3 ОМ,4,,,,
C07,CRASH_MEDIUM.svg,Регенератор кислорода,"Насосы застревают, мхи гниют — в отсеке запах болота и тревоги.",2 ОД,-3 ОМ,10,,,,
C08,CRASH_MEDIUM.svg,Модуль точечной телеметрии,"Датчики сбоят, создавая фантомные сигналы — команда охотится за “призраками”.",2 ОД,-3 ОМ,"11,12",,,,
C09,CRASH_MEDIUM.svg,Генератор импульсных щитов,"Поле сбивается с фазы — и бьёт током всех, кто рядом с консолью.",2 ОД,-3 ОМ,"2,3",,,,
C10,CRASH_MEDIUM.svg,Модуль переработки отходов,"Ошибка в калибровке — и теперь пищевой принтер подаёт не кашу, а резину.",2 ОД,-3 ОМ,5,,,,
C11,CRASH_HARD.svg,Квантовая навигация,"Алгоритм “расплывается” — курс делится на три возможных, корабль теряет ориентацию.",2 ОД,-3 ОМ,"6,8",,,,
C12,CRASH_HARD.svg,Плазменный ускоритель,"Один сбой — и плазма прожигает обшивку, как бумагу.",2 ОД,-6 ОМ,"2-5,10-12",,,,
C13,CRASH_HARD.svg,Нейропривязка управления,Корабль начинает двигаться в такт сердцебиению пилота — паника усиливает перегрузки.,2 ОД,-4 ОМ,"5,7,9",,,,
C14,CRASH_HARD.svg,Гравитационный компенсатор,"Сбой катушки — и гравитация скачет: то пол, то потолок.",2 ОД,-6 ОМ,8-10,,,,
C15,CRASH_HARD.svg,Автономный ремонтный дрон,"Ошибка в коде — дрон начинает “ремонтировать” людей.",2 ОД,-10 ОМ,"1,12",,,,
C16,CRASH_EXTREME.svg,Прототип варп-ядра,"Реактор вибрирует, звёзды искажаются — пространство начинает «плавиться».",2 ОД,-7 ОМ,8-12,,,,
C17,CRASH_EXTREME.svg,Экспериментальный щит Хиггса,"Внезапно щит «проглатывает» борт — экипаж видит только пустоту.",2 ОД,-10 ОМ,"2-5,7,10-12",,,,
C18,CRASH_EXTREME.svg,Телепортационный шлюз,"Ошибка в матрице — груз исчезает, появляется в стене. Иногда — человек.",2 ОД,-10 ОМ,"2-5,9-12",,,,
C19,CRASH_EXTREME.svg,Система квантового предсказания,"Он предсказывает собственный сбой — и сам его вызывает.",2 ОД,-8 ОМ,2-6,,,,
C20,CRASH_EXTREME.svg,Живой биомодуль,"Биомодуль «просыпается» и решает, что экипаж — паразиты.",2 ОД,-10 ОМ,четные,,,,
J01,JOKER.svg,ИИ приоритизация,,4 ОД,пропуск хода,7,+1 ОД,"1-6,8-12","ИИ помогает экипажу действовать слаженно.","ИИ начинает спорить и блокирует интерфейсы."
J02,JOKER.svg,Модуль квантовой удачи,,4 ОД,убрать любой кубик,дубль,Перебросить 1 кубик,не дубль,"Квантовые кости","Модуль сбился. Кубики повторяются и пропадают."
J03,JOKER.svg,Интерфейс боевого духа,,4 ОД,+1 случайный дефект,"6,12",+1 ОД при устранении дефекта,"2-5,7-11","Музыка и свет создают эффект «всё получится».","Система заедает, и играет траурный марш."
J04,JOKER.svg,Реактор-резонатор,,4 ОД,теряется половина дохода ОМ за ход,7,"+1 ОМ за каждое сработвашее улучшение","1-6,8-12","Хорошее настроение экипажа генерирует энергию.","Раздражение вызывает «музыкальный шторм»."
J05,JOKER.svg,Система «Мёбиус»,,4 ОД,нельзя чинить дефекты и сбои,нечет.,можно убрать 1 дефект низк/средн уровня,чет.,"Контур замкнут","Контур зацикливается — и энергия просто исчезает."
